Module Code,Lecturer,Topic,Question,Answer
CMB236,Colin Freeman,Proteins,What are the four levels of protein structure?,"Primary (AA chains with peptide bonds), Secondary (α-helix / β-pleated sheets held by H-bonds), Tertiary (H-bonds, ionic, disulphide bridges), and Quaternary (multiple tertiary compounds, e.g. haemoglobin)."
CMB236,Colin Freeman,Proteins,"Why do hydroxyl amides decay slowly, and how can hydrolysis be accelerated?","High activation energy prevents rapid hydrolysis. It can be accelerated by shifting equilibrium through acidic or basic conditions — acids stabilise oxygen; bases attack the partially positive carbon."
CMB236,Colin Freeman,Proteins,Why is sugar hydrolysis less vulnerable than amino acid hydrolysis?,"Sugars lack a C–N bond; their C–O bond is less partially positive, making them more resistant. Acid or base catalysis is still required."
CMB236,Colin Freeman,Proteins,"What is denaturation, and what does it ultimately lead to?","Denaturation is protein unfolding that exposes hydrophobic regions, causing chain aggregation (to decrease enthalpy) and then coagulation."
CMB236,Colin Freeman,Proteins,Name six causes of protein denaturation?,"pH change (H⁺/OH⁻ disrupt H-bonds), elevated temperature (activates more particles to EA), solvent change (alters water–H-bond interaction), mechanical stress, ions (increase crosslinks & disrupt structured water), and free radicals (break bonds)."
CMB236,Colin Freeman,Proteins,How do phenol groups (e.g. Vitamin E) moderate free radical damage?,"Free radical electrons delocalise across the benzene ring of the phenol group, acting as a radical sink and preventing bond breakdown."
CMB236,Colin Freeman,Mechanics,Describe the shape and regions of the stress–strain curve for biological molecules?,"J-shaped: a toe region where molecules uncoil, followed by a linear elastic (Hooke's law) region, then yield at σYS where plastic deformation and creep begin."
CMB236,Colin Freeman,Mechanics,"What is the molecular structure of collagen, and how does water content affect its stiffness?","Collagen is a triple helix of polypeptide chains. Water mediates chain interactions: Ewet ≈ 1.5 GPa vs Edry ≈ 6 GPa — higher water density fills gaps, reducing IMFs and stiffness."
CMB236,Colin Freeman,Mechanics,"What is viscoelasticity, and how does it benefit biological materials?","Viscoelastic materials show rubbery/hysteresis behaviour on load–unload cycles. They absorb impacts, dissipate energy as heat (from the area under the stress–strain loop), and have a time delay (tanθ) in stress response — preventing crack propagation."
CMB236,Colin Freeman,Keratin & Fracture,How do α-helices and β-sheets contribute differently to keratin's mechanical properties?,"α-helices are viscous and stretchy (spring-like) — more helices → more impact absorption. β-sheets are solid and hard — more sheets → more hardness and durability."
